,Job Title,Company,Location,Requirements,Years of Experience,Tags,Link
268,Data Analysis and Data Visualization Application Developer,Alegra Labs,Guwahati,Candidate should be experienced in Regular Expressions (Parsers and Crawlers) - profici...,3-6 Yrs," Machine learning, Firebase, Keras, Data Wrangling, D3 js, Google Colab, Pandas, CSS3",https://www.naukri.com/job-listings-data-analysis-and-data-visualization-application-developer-alegra-labs-guwahati-3-to-6-years-111022501759
269,Sr Data Scientist | Gurgaon | WFO,Ofb Tech,Gurgaon,Experience using different machine learning related modules in Python (e.gMust have ver...,3-6 Yrs," Data Science, Data Science Engineer, Data Scientist, lightgmb, sklearn, xgboost, Machine Learning, Deep Learning",https://www.naukri.com/job-listings-sr-data-scientist-gurgaon-wfo-ofb-tech-pvt-ltd-gurgaon-gurugram-3-to-6-years-191022611908
270,Analyst OR Sr Analyst (Data Scientist),Novartis,Hybrid,"Good To have experience: in any BI Tool( Power BI, Qlik sense, etcDomain Good to have: ...",2-5 Yrs," python, data science, predictive analytics, feature engineering, statistical modeling, prescriptive analytics, Cognitive analytics",https://www.naukri.com/job-listings-analyst-or-sr-analyst-data-scientist-novartis-hyderabad-secunderabad-2-to-5-years-251122004422
271,Data Scientist III,Groupon,Bangalore,The Data Science team at Groupon owns the heart of our decision-making system that prov...,6-10 Yrs," Data science, deep learning, python, Hive, data analysis, GCP, data mining, Hadoop",https://www.naukri.com/job-listings-data-scientist-iii-groupon-shared-services-pvt-ltd-bangalore-bengaluru-6-to-10-years-301122909365
272,Data Analyst,Cheil India,Gurgaon,Experience- 6 months to 2 Years (Freshers can also apply)Must have:- Good hands on expe...,0-2 Yrs," Data Science, Excel, Statistics, Analytics, Python, Machine Learning",https://www.naukri.com/job-listings-data-analyst-cheil-india-pvt-ltd-gurgaon-gurugram-0-to-2-years-021122012139
273,Intern- BPI (LSS & Data Analytics),Sgtc India,Gurgaon,"Engage in activities related to Data mining, Interpretation, Analysis, and Report gener...",2-7 Yrs," MS Access, data science, Database management, Analytical, Debugging, Computer application, Data analytics, Data mining",https://www.naukri.com/job-listings-intern-bpi-lss-data-analytics-sgtc-india-gurgaon-gurugram-2-to-7-years-181122500042
274,Assistant Manager/Manager/Senior Manager - Data Scientist,Huquo Consulting Pvt. Ltd,Multiple,Very strong analytical skills with the demonstrated ability to research and make decisi...,2-7 Yrs," Data Science, SAS, Machine Learning, Statistics, Analytics, Scikit - Learn, Spark NLP, NLP",https://www.naukri.com/job-listings-assistant-manager-manager-senior-manager-data-scientist-huquo-consulting-pvt-ltd-gurgaon-gurugram-bangalore-bengaluru-2-to-7-years-301122906739
275,Data Scientist/ Sr. Data Scientist/ Principal Data Scientist,BigShyft.com,Bangalore,Experience working with and creating data architecturesExperience using statistical com...,4-9 Yrs," python, data science, spark, machine learning, ad-tech, r, search ads, Adtech",https://www.naukri.com/job-listings-data-scientist-sr-data-scientist-principal-data-scientist-bigshyft-com-bangalore-bengaluru-4-to-9-years-080922003980
276,Sr. Machine Learning Data Scientist,WINNING EDGE,Bangalore,"Basic Qualifications: Masters in Statistics, Economics, Operations Research, Data Scien...",7-12 Yrs," Machine Learning, Data Science, R, DNN, Data visualization, Deep Learning, SQL, Python",https://www.naukri.com/job-listings-sr-machine-learning-data-scientist-edge-bangalore-bengaluru-7-to-12-years-021222910164
277,Senior Data Scientist AI Initiative,Lendingkart,Bangalore,"As a Senior data scientist, you will work in the AI Initiatives section of Data Science...",5-10 Yrs, data science,https://www.naukri.com/job-listings-senior-data-scientist-ai-initiative-lendingkart-finance-limited-bangalore-bengaluru-5-to-10-years-021222501422
278,Data Scientist and Senior Data Scientist,3i Infotech,Chennai,Experience in data mining Proven experience as a Data Scientist or Data Analyst Experie...,5-10 Yrs," Data Science, Data Scientist, Python, bigdata frameworks, Tableau, presentation, Hadoop, Power BI",https://www.naukri.com/job-listings-data-scientist-and-senior-data-scientist-3i-infotech-limited-chennai-5-to-10-years-021122605367
279,Assistant Manager/Senior Manager - Data Scientist - IT,Huquo Consulting Pvt. Ltd,Multiple,Very strong analytical skills with the demonstrated ability to research and make decisi...,2-7 Yrs," Data Science, Data Scientist, SAS, Data Management, Statistical Modeling, Data Visualization, Data Analytics, Statistics",https://www.naukri.com/job-listings-assistant-manager-senior-manager-data-scientist-it-huquo-consulting-pvt-ltd-gurgaon-gurugram-bangalore-bengaluru-2-to-7-years-091122913520
280,Sr.Data Scientist (AI\ML),Varite,Bangalore,Designing ML systems Researching and implementing ML algorithms and models as per Desig...,4-9 Yrs," Statistical analysis, data science, Machine learning, Packaging, Data quality, Data analytics, Research, Python",https://www.naukri.com/job-listings-sr-data-scientist-ai-ml-varite-bangalore-bengaluru-4-to-9-years-081022500495
281,Job Opportunity For Data Scientists |TIBCO Software,TIBCO,Pune,Tibco is hiring for Data-Scientist role!Required Experience: 3-4 yearsEducation: Should...,2-5 Yrs," written, big data, oral communication, Bot framework, machine learning, SparkR, cloud technologies, Azure",https://www.naukri.com/job-listings-opportunity-for-data-scientists-tibco-software-tibco-pune-2-to-5-years-021222009164
282,Lead Data Scientist,Cotiviti,Multiple,Must have implemented machine learning solutions within production environments at scal...,5-8 Yrs," tensorflow, deep learning, python, nlp, GIT, data science, health insurance, Artificial Intelligence",https://www.naukri.com/job-listings-lead-data-scientist-cotiviti-hyderabad-secunderabad-pune-coimbatore-5-to-8-years-011222005982
283,Data Scientist,Cotiviti,Multiple,Must have implemented machine learning solutions within production environments at scal...,3-5 Yrs," tensorflow, financial analysis, python, health insurance, Hadoop, Bigdata, US Healthcare, machine learning",https://www.naukri.com/job-listings-data-scientist-cotiviti-hyderabad-secunderabad-pune-coimbatore-3-to-5-years-011222005780
284,Data Scientist,Thomson Digital,Noida,You will ideally have extensive experience building analytics products from a technolog...,3-8 Yrs," data science, Java, python, Hibernate, transformers, supervised learning, J2Ee, data structures",https://www.naukri.com/job-listings-data-scientist-thomson-digital-noida-3-to-8-years-021222007103
285,Data Engineer,Seven Consultancy (HR Solution),Bangalore,"Hands-on experience with the Hadoop stack HDFS, sqoop, kafka, Pulsar, NiFi, Spark, Spar...",3-8 Yrs," data services, data science, data security, big data analytics, cassandra, Consulting, Hadoop, Programming",https://www.naukri.com/job-listings-data-engineer-seven-consultancy-hr-solution-bangalore-bengaluru-3-to-8-years-171122500726
286,Data Analyst,What Digital Technologies Private Limited  ,Bangalore,Good understanding of statistics and analysis techniques (parametric & nonparametric mo...,4-8 Yrs," Data Studio, google analytics, Data Analytics, IT Skills, Java, Python, Data Science, Tableau",https://www.naukri.com/job-listings-data-analyst-what-digital-technologies-private-limited-bangalore-bengaluru-4-to-8-years-151122007595
287,Data Analyst Trainee,Medtoureasy,Remote,"This Program does not require any prior programming or statistical skills, and is suita...",0-1 Yrs," Data analysis, PDF, data science, Cognos, Analytical, Healthcare, Data Analyst, data visualization",https://www.naukri.com/job-listings-data-analyst-trainee-medtoureasy-remote-0-to-1-years-211122500261
288,Data Analyst - FinTech,Upshoot HR Solutions Pvt. Ltd.,Bangalore,"Strong business judgment, leadership and integrity: She / he should be a tenacious prob...",1-4 Yrs," Data Analytics, Data Science, Predictive Modeling, Data Mining, Python Coding, Analytics, Segmentation Modeling, Python",https://www.naukri.com/job-listings-data-analyst-fintech-upshoot-hr-solutions-pvt-ltd-bangalore-bengaluru-1-to-4-years-041122912075
289,Data Analyst,Seven Consultancy (HR Solution),Bangalore,Assist the data scientist in development of new analytical tools and methods as and whe...,2-3 Yrs," Procurement, data science, big data analytics, Analytical, Consulting, Data collection, big data analyst, Consultancy",https://www.naukri.com/job-listings-data-analyst-seven-consultancy-hr-solution-bangalore-bengaluru-2-to-3-years-280322501314
290,Data Analyst,Talent Zone Consultant,Bangalore,graduate degree in Data Science or other quantitative field is preferred Experience in ...,10-12 Yrs," Data Science, Business Intelligence, R, Data Scientist, C + +, Hadoop, Data Analysis, Data Mining",https://www.naukri.com/job-listings-data-analyst-talent-zone-consultant-bangalore-bengaluru-10-to-12-years-071021501340
291,Data Analyst,Klub,Bangalore,Minimum 1 year of working experience as a Data Analyst or Business Data Analyst Knowled...,1-4 Yrs," Data Science, Sas, Database Design Development, Business Data Analyst, Etl Frameworks, Data Mining, Process Improvement, Data Collection",https://www.naukri.com/job-listings-data-analyst-klub-bangalore-bengaluru-1-to-4-years-011021500845
292,Lead Data Analyst,Adecco India Private Limited   ,Hyderabad,"Roles and Responsibilities LEAD DATA ANALYST:In this role, youll lead a team which uses...",5-9 Yrs," python, Tableau, Data Analytics, Data Science, Leadership",https://www.naukri.com/job-listings-lead-data-analyst-adecco-india-private-limited-hyderabad-secunderabad-5-to-9-years-081122011892
293,Sr . Data Analyst - Business Insights,"Saavn, LLC",Mumbai,"Bachelor s or higher degree in Data Analytics, Data Science, Statistics, Math, Engineer...",2-5 Yrs," Data Science, R, Data Analysis, Data Visualization, Advanced Excel, Data Analyst, Data Analytics, Statistics",https://www.naukri.com/job-listings-sr-data-analyst-business-insights-saavn-llc-mumbai-2-to-5-years-071021500841
294,Head - Data Analytics - IT,Options Executive Search Private Limited.,Chennai,A minimum of 12-15 years of experience in Data Science driving B2B IT product/ services...,12-15 Yrs," Data Analytics, AIML Implementation, Java, Azure, SaaS, Big Data, B2B IT product, Machine Learning",https://www.naukri.com/job-listings-head-data-analytics-it-options-executive-search-private-limited-chennai-12-to-15-years-291122912581
295,"Manager - Data Analytics, Navi Mumbai",Utkarsh Small Finance Bank,Mumbai,"Proficiency in predictive modelling and Machine learning (Logistic / Linear regression,...",4-8 Yrs," data analytics, predictive modeling, Advanced Analytics, Data Science, python, Power Bi, machine learning",https://www.naukri.com/job-listings-manager-data-analytics-navi-mumbai-utkarsh-small-finance-bank-navi-mumbai-4-to-8-years-191122004508
296,Lead Data Scientist / ML engineer-- US MNC (analytics),Aspyra Hr Services,Multiple,"Has experience working on unstructured data ( text ): Text cleaning, TFIDF, text vector...",7-12 Yrs," python, Data Science, algorithms, predictive modeling, Natural Language Processing, Machine Learning Algorithms, knn, machine learning",https://www.naukri.com/job-listings-lead-data-scientist-ml-engineer-us-mnc-analytics-aspyra-hr-services-gurgaon-gurugram-bangalore-bengaluru-7-to-12-years-011222007063
297,Data Analyst,RyTe4u Solutions  ,Hybrid,- B.Tech from a Tier I / MBA from tier 1 institutes - Exp in Analytics / Data science v...,2-4 Yrs," Data Analytics, Data Science, SAS, Power Bi, Tableau, Python",https://www.naukri.com/job-listings-data-analyst-ryte4u-solutions-bangalore-bengaluru-2-to-4-years-011122004386
298,Machine Learning  Engineer / Python Developer / Data Scientist,Mark Consultancy Services,Hybrid,Machine Learning and Data Scientist: A minimum of 5 years of experience with 3 years re...,4-9 Yrs," python, machine learning, data science, reinforcement learning",https://www.naukri.com/job-listings-machine-learning-engineer-python-developer-data-scientist-mark-consultancy-services-bangalore-bengaluru-4-to-9-years-261122006674
299,Senior Analyst/ Data Scientist,Tiger Analytics,Multiple,2 years of must-have hands-on experience in SAS and Python is mandatoryExperience worki...,2-7 Yrs," Analyst, Statistical modeling, SAS, data science, risk modeling, Machine learning, big data, Financial services",https://www.naukri.com/job-listings-senior-analyst-data-scientist-tiger-analytics-hyderabad-secunderabad-chennai-bangalore-bengaluru-2-to-7-years-220922501686
300,Senior Data Research Analyst,Morningstar,Hybrid,"Participate in other data and process related projects, like industry / market data col...",0-3 Yrs," Data Analysis, Data Analytics, Market Forecasting, research analysis, Market Analysis",https://www.naukri.com/job-listings-senior-data-research-analyst-morningstar-india-p-ltd-mumbai-all-areas-0-to-3-years-021122005187
301,Urgent Job Opening of Lead Data Scientist / Data Scientist,Trellance,Multiple,"Job Type: Full TimeBE/ B Tech, MCA, MSc (Statistics), MBA from Recognized UniversityThe...",6-11 Yrs," python, data science, data mining, machine learning, sql server, r, data analytics, svm",https://www.naukri.com/job-listings-urgent-opening-of-lead-data-scientist-data-scientist-trellance-ahmedabad-bangalore-bengaluru-6-to-11-years-240322005713
302,"Data Scientist, II",Zebra Technologies,Bangalore,Interacts with product and service teams to identify questions and issues for data anal...,2-5 Yrs," Data Science, data analysis, Hadoop, Cassandra, Big Data, Data Mining, Spark",https://www.naukri.com/job-listings-data-scientist-ii-zebra-technologies-corporation-bangalore-bengaluru-2-to-5-years-021222904113
303,Data Scientist - KPO,Huquo Consulting Pvt. Ltd,Multiple,Should be able to work on a problem independently and prepare client ready deliverable ...,4-8 Yrs," Data Science, Data Management, Data Modeling, Python, SQL, Predictive Modeling, Machine Learning",https://www.naukri.com/job-listings-data-scientist-kpo-huquo-consulting-pvt-ltd-gurgaon-gurugram-bangalore-bengaluru-4-to-8-years-301122906669
304,Lead Data Scientist (Diversity Role),Emploi Consultancy,Bangalore,5+ years of experience as a Data Scientist,5-10 Yrs," Python, machine learning, SQL, Data Science",https://www.naukri.com/job-listings-lead-data-scientist-diversity-role-emploi-consultancy-bangalore-bengaluru-5-to-10-years-301122905714
305,Data Scientist - Analytics,Huquo Consulting Pvt. Ltd,Multiple,DATA SCIENTISTS - Understand data and different platforms used by client- Translate bus...,7-12 Yrs," Data Science, Predictive Modeling, Data Management, Data Analytics",https://www.naukri.com/job-listings-data-scientist-analytics-huquo-consulting-pvt-ltd-gurgaon-gurugram-bangalore-bengaluru-7-to-12-years-071122907839
306,Data Scientist - BFS,Huquo Consulting Pvt. Ltd,Multiple,"Bachelors / Masters degree in economics, mathematics, computer science / engineering, o...",4-9 Yrs," data analytics, Data Science, SAS, Data Scientist, Data Management, Statistics, Machine Learning, Analytics",https://www.naukri.com/job-listings-data-scientist-bfs-huquo-consulting-pvt-ltd-gurgaon-gurugram-bangalore-bengaluru-4-to-9-years-071122903435
307,Data Scientist,o9 Solutions,Bangalore,"Bachelors Degree in Computer Science, Mathematics, Statistics, Economics, Engineering o...",1-4 Yrs," Data Science, Time Series, Tensorflow, python, Arima, Deep Learning",https://www.naukri.com/job-listings-data-scientist-o9-solutions-bangalore-bengaluru-1-to-4-years-021222004422
308,Data Scientist-Product Based Company-Immediate Joiners,Pylon Management Consulting,Multiple,Preferred Location- BE / BTech comp science preferredVery good academic background3 to ...,3-8 Yrs," Data Science, deep learning, NLP, Natural Language Processing, machine learning, nosql, sql",https://www.naukri.com/job-listings-data-scientist-product-based-company-immediate-joiners-pylon-management-consulting-hyderabad-secunderabad-navi-mumbai-bangalore-bengaluru-mumbai-all-areas-3-to-8-years-011222006769
309,Data Scientist - Analytics,Huquo Consulting Pvt. Ltd,Multiple,DATA SCIENTISTS- Understand data and different platforms used by client- Translate busi...,7-12 Yrs," Data Science, Predictive Modeling, Data Scientist, Data Management, Statistical Modeling, Data Modeling, Data Analytics, Statistics",https://www.naukri.com/job-listings-data-scientist-analytics-huquo-consulting-pvt-ltd-gurgaon-gurugram-bangalore-bengaluru-7-to-12-years-011122908651
310,Data Scientist - Azure,Huquo Consulting Pvt. Ltd,Multiple,"Mandate skills : Data Scientist, Must have experience in building web applications with...",5-10 Yrs," Data Science, PySpark, Data Modeling, Data Analytics, Python, React, Predictive Modeling, Azure",https://www.naukri.com/job-listings-data-scientist-azure-huquo-consulting-pvt-ltd-gurgaon-gurugram-bangalore-bengaluru-5-to-10-years-141122907872
311,Data Scientist - Azure,Huquo Consulting Pvt. Ltd,Multiple,"Mandate skills : Data Scientist, Must have experience in building web applications with...",5-10 Yrs," Azure, Data Science, Analytics consulting, PySpark, Statistical Analyst, Data Modeling, Data Analytics, Regression Modeling",https://www.naukri.com/job-listings-data-scientist-azure-huquo-consulting-pvt-ltd-gurgaon-gurugram-bangalore-bengaluru-5-to-10-years-121122906273
312,Data Scientist,kk consulting services,Bangalore,Enable the power of data analytics in the medical/healthcare domain. Enable the power o...,2-5 Yrs," Mining, Business process, advanced analytics, customer analytics, Statistical analysis, data science, Machine learning, Healthcare",https://www.naukri.com/job-listings-data-scientist-kk-consulting-services-bangalore-bengaluru-2-to-5-years-100222500945
313,Data Scientist,Seven Consultancy (HR Solution),Bangalore,Be able to take the initiative and work with minimum guidance and requirementsMust have...,3-5 Yrs," data science, big data analytics, Workflow management, Consulting, Machine learning, Infrastructure, Programming, Data structures",https://www.naukri.com/job-listings-data-scientist-seven-consultancy-hr-solution-bangalore-bengaluru-3-to-5-years-290322500311
314,Data Scientist - Azure,Huquo Consulting Pvt. Ltd,Multiple,"Mandate skills : Data Scientist, Must have experience in building web applications with...",5-10 Yrs," Data science, verbal, Python, Azure, Vue, Angular, PySpark, javascript",https://www.naukri.com/job-listings-data-scientist-azure-huquo-consulting-pvt-ltd-gurgaon-gurugram-bangalore-bengaluru-5-to-10-years-091122913946
315,SIXT Staff Data Scientist,Sixt,Bangalore,What you ll do Perform as smoothly as our cars: You are responsible for setting up Data...,9-10 Yrs," data science, Machine learning, Hypothesis Testing, Programming, Deployment, Data analytics, Subject Matter Expert, Analytics",https://www.naukri.com/job-listings-sixt-staff-data-scientist-sixt-bangalore-bengaluru-9-to-10-years-061022501204
316,Data Scientist III,Sixt,Bangalore,What you ll do Perform as smoothly as our cars: You are responsible for setting up Data...,5-10 Yrs," Scientist III, data science, Machine learning, Hypothesis Testing, Programming, Data analytics, Subject Matter Expert, Analytics",https://www.naukri.com/job-listings-data-scientist-iii-sixt-bangalore-bengaluru-5-to-10-years-061022501187
317,Data Engineer - Smart Building Analytics,Siemens,Pune,"As you will be working with these from day one, familiarity with AWS services beyond EC...",6-9 Yrs," data science, Agile, Manager Technology, Siemens, Data analytics, big data, Team Head, Python",https://www.naukri.com/job-listings-data-engineer-smart-building-analytics-siemens-limited-pune-6-to-9-years-141022500981
318,Data Analyst,CGI,Bangalore,Must have excellent oral and written communication skills including presentation skills...,0-2 Yrs," Data Analytics, written communication, excel, data analysis",https://www.naukri.com/job-listings-data-analyst-cgi-bangalore-bengaluru-0-to-2-years-221122009958
319,Senior Data Scientist - R/Python,Career Infosystem,Chennai,"Team with strong pedagogy : from IIT, NIT, IIM and other leading institutes in India an...",4-8 Yrs," Python, VBA, analytical, R, SQL, Data Science, Mathematical Modeling, Data Scientist",https://www.naukri.com/job-listings-senior-data-scientist-r-python-career-infosystem-chennai-4-to-8-years-251122913295
320,Sr Data Scientist - Machine Learning,Mouri Tech,Hyderabad,proficiency with variety of approaches and models from a reputed institute8 years of ex...,6-8 Yrs," Cluster analysis, Machine Learning, communication, verbal, written, Computer science, Logistic regression, Data analysis",https://www.naukri.com/job-listings-sr-data-scientist-machine-learning-mouri-tech-pvt-ltd-hyderabad-secunderabad-6-to-8-years-301122500812
321,Assistant Manager/Senior Manager - Data Scientist - IT,Huquo Consulting Pvt. Ltd,Multiple,Very strong analytical skills with the demonstrated ability to research and make decisi...,2-7 Yrs," Data Scientist, Data Science, SAS, Data Management, Statistical Modeling, Data Visualization, Statistics, Machine Learning",https://www.naukri.com/job-listings-assistant-manager-senior-manager-data-scientist-it-huquo-consulting-pvt-ltd-gurgaon-gurugram-bangalore-bengaluru-2-to-7-years-291122908796
322,Data Analyst Engineer,Ethos Watch,Bangalore,Design standard data access layers for both real-time and batch use casesMinimum of 4 y...,0-3 Yrs," Backend, Interpersonal skills, data science, Data modeling, Diversity and Inclusion, data governance, Data Analyst, Open source",https://www.naukri.com/job-listings-data-analyst-engineer-ethos-capital-bangalore-bengaluru-0-to-3-years-310522501267
323,Senior Data Scientist,Novo,Gurgaon,"Experience working with Pandas, scikit learn, tensorflow and visualisation libraries li...",4-8 Yrs," Data management, data science, Cash flow, Data analytics, big data, Business banking, Analytics, SQL",https://www.naukri.com/job-listings-senior-data-scientist-novo-gurgaon-gurugram-4-to-8-years-170522500785
324,Senior Data Scientist - Product Development Firm,Huquo Consulting Pvt. Ltd,Delhi NCR,Responsibilities:- Interact with clients and internal business teams to identify and de...,5-10 Yrs," Machine Learning, Data Science, NLP, Data Scientist, Data Management, Data Modeling, Data Analytics, Analytics",https://www.naukri.com/job-listings-senior-data-scientist-product-development-firm-huquo-consulting-pvt-ltd-delhi-ncr-gurgaon-gurugram-5-to-10-years-011122908339
325,Research Specialist,Accenture,Bangalore,"4 or more years of work experience in data analytics, economics, or data science",4-8 Yrs," Business process, Business administration, Business analytics, Consulting, Machine learning, Chemical, data science, Data analytics",https://www.naukri.com/job-listings-research-specialist-accenture-solutions-pvt-ltd-bangalore-bengaluru-4-to-8-years-301122914372
326,ACN - Applied Intelligence - C4DI - Data Modelling - 09,Accenture,Gurgaon,o Industrial or research experience in combinatorial optimization modeling (particularl...,7-10 Yrs," Data Modelling, python, r, nlp, strategy consulting, data science, cplex, algorithm development",https://www.naukri.com/job-listings-acn-applied-intelligence-c4di-data-modelling-09-accenture-solutions-pvt-ltd-gurgaon-gurugram-7-to-10-years-301122914642
327,Data Analytics Manager - II,CBRE,Hyderabad,Bachelors degree (BA / BS) from four-year college or university and a minimum of six to...,15-20 Yrs," Business process, Data analysis, data science, Analytical, XML, Manager Technology, Data analytics, Manager II",https://www.naukri.com/job-listings-data-analytics-manager-ii-cbre-group-hyderabad-secunderabad-15-to-20-years-170822502788
328,Data Analyst - Python/Artificial Intelligence,iMindYourBusiness,Multiple,Candidates must have ability to work from home and also in a position to use their pers...,0-2 Yrs," Data Analyst, Python, SQL server, VBA, Advanced Excel, C++, IT Skills, Data Science",https://www.naukri.com/job-listings-data-analyst-python-artificial-intelligence-imindyourbusiness-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-0-to-2-years-141122908215
329,Data Analyst - Python/Artificial Intelligence,iMindYourBusiness,Multiple,Candidates must have ability to work from home and also in a position to use their pers...,0-2 Yrs," Python, VBA, C++, SQL server, Advanced Excel, IT Skills, Data Science, Artificial Intelligence",https://www.naukri.com/job-listings-data-analyst-python-artificial-intelligence-imindyourbusiness-kolkata-mumbai-visakhapatnam-vizag-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-0-to-2-years-011122900046
330,Scientific Data Analyst,Manpowergroup Services India,Permanent Remote,Roles and Responsibilities The Principal RWE Scientific Data Analyst will lead programm...,5-10 Yrs," Power Bi Dashboards, data science, Tableau, Python, vendor management, deep learning, data analysis, data manipulation",https://www.naukri.com/job-listings-scientific-data-analyst-manpowergroup-services-india-hyderabad-secunderabad-5-to-10-years-281122002354
331,Data Analyst,Skidos,New Delhi,Self-motivation and strong communication skills are must havesExperience with cloud pla...,2-3 Yrs," Accessories, data science, Programming, Data Analyst, Data analytics, Windows, IOS, Analytics",https://www.naukri.com/job-listings-data-analyst-skidos-new-delhi-2-to-3-years-161122501272
332,Data Analyst,Bright Capital,Bangalore,The right candidate should aim to grow either as a Data Scientist or as a Product Manag...,0-2 Yrs," data science, Data Analyst",https://www.naukri.com/job-listings-data-analyst-bright-money-bangalore-bengaluru-0-to-2-years-090822500480
333,Data Analyst,Seven Consultancy (HR Solution),Chennai,Assist the data scientist in development of new analytical tools and methods as and whe...,3-8 Yrs," Procurement, data science, big data analytics, Analytical, Data collection, big data analyst, Consultancy, Management",https://www.naukri.com/job-listings-data-analyst-seven-consultancy-hr-solution-chennai-3-to-8-years-280322501502
334,Data Analyst,Seven Consultancy (HR Solution),Mumbai,Assist the data scientist in development of new analytical tools and methods as and whe...,2-7 Yrs," Procurement, data science, big data analytics, Analytical, Data collection, big data analyst, Consultancy, Management",https://www.naukri.com/job-listings-data-analyst-seven-consultancy-hr-solution-mumbai-2-to-7-years-280322501501
335,Data Analyst,Seven Consultancy (HR Solution),New Delhi,Assist the data scientist in development of new analytical tools and methods as and whe...,1-3 Yrs," Procurement, data science, big data analytics, Analytical, Data collection, big data analyst, Consultancy, Management",https://www.naukri.com/job-listings-data-analyst-seven-consultancy-hr-solution-new-delhi-1-to-3-years-280322501312
336,Data Analyst,Seven Consultancy (HR Solution),New Delhi,Assist the data scientist in development of new analytical tools and methods as and whe...,2-4 Yrs," Procurement, data science, big data analytics, Analytical, Consulting, Data collection, big data analyst, Management",https://www.naukri.com/job-listings-data-analyst-seven-consultancy-hr-solution-new-delhi-2-to-4-years-280322501311
337,"Assistant Manager/Manager/Senior Manager - Data Scientist
Huquo Consul",Icreatives,Multiple,Data Scientists (Assistant Manager-Senior Manager) Collaborate with client stakeholders...,2-7 Yrs," Data Science, Artificial Intelligence, Natural Language Processing, Computer Vision, Machine Learning",https://www.naukri.com/job-listings-assistant-manager-manager-senior-manager-data-scientist-huquo-consul-icreatives-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-2-to-7-years-251122012213
338,"Senior Specialist, Data Scientist",BNY Mellon,Chennai,Bachelors degree in a related discipline or equivalent work experience required 10 year...,8-10 Yrs," Training, advanced analytics, data science, Programming, Deployment, Representative, Financial services, Analytics",https://www.naukri.com/job-listings-senior-specialist-data-scientist-bny-mellon-international-operations-india-chennai-8-to-10-years-181122500466
339,Senior Data Engineer - Power BI,Tiger Analytics,Multiple,Adept understanding of any of the cloud services is preferred (Azure)7+ years of experi...,7-12 Yrs," Performance tuning, data science, Analytical, Consulting, power bi, Silicon, Data analytics, Unit testing",https://www.naukri.com/job-listings-senior-data-engineer-power-bi-tiger-analytics-hyderabad-secunderabad-chennai-7-to-12-years-221022500690
340,Business Analyst/Senior Business Analyst - Image Labelling,Huquo Consulting Pvt. Ltd,Gurgaon,"Bachelors / Masters degree in economics, mathematics, actuarial sciences, computer scie...",1-4 Yrs," Data Modeling, Data Analytics, Analytics, Operations research, Quality improvement, Business Analyst, data science, Analytical",https://www.naukri.com/job-listings-business-analyst-senior-business-analyst-image-labelling-huquo-consulting-pvt-ltd-gurgaon-gurugram-1-to-4-years-301122906513
341,Data Scientist - Lodha Group,Lodha Group,Mumbai,Experience working in an agile / scrum development processRequired 3+ years of experien...,3-7 Yrs," cloud, data analysis, Data Science, business development",https://www.naukri.com/job-listings-data-scientist-lodha-group-lodha-developers-ltd-andheri-3-to-7-years-171122006166
342,Data Scientist,Globallogic,Hyderabad,At least 3+ years of professional experience in implementing statistical / machine lear...,4-5 Yrs," Python, PowerBI, R, MS - power point, Data Science, Azure, Tableau, SVN",https://www.naukri.com/job-listings-data-scientist-globallogic-india-private-limited-hyderabad-secunderabad-4-to-5-years-241122911793
343,Deputy Vice President - Data Analytics,Aegon Life,Permanent Remote,Role SummaryAegon Life Insurance Company is seeking to fill a position within the Data ...,12-15 Yrs," Data Analysis, RDS, Data Science, Amazon Web Services, SQS, Lamda, SNS, AL",https://www.naukri.com/job-listings-deputy-vice-president-data-analytics-aegon-life-insurance-company-ltd-mumbai-12-to-15-years-231122906230
344,Data Analyst with SQL- Chennai - Work from office,HR Consultant ,Chennai,Short notice period/ Maximum 30 days candts preferredExperience in handling databases (...,3-8 Yrs," data analyst, BI, data visualization, SQL, analytical, SQL scripts, Data Science, Text Analytics",https://www.naukri.com/job-listings-data-analyst-with-sql-chennai-work-from-office-hr-consultant-chennai-3-to-8-years-081122007847
345,data analyst,Disha Consultants,Multiple,Should be comfortable with SQL for query building Should have a natural flair for playi...,2-4 Yrs," Data analysis, Data validation, Data management, Data analytics, Advanced Excel, Data Analyst, data visualization, Management",https://www.naukri.com/job-listings-data-analyst-disha-consultant-pune-chennai-jaipur-bangalore-bengaluru-2-to-4-years-140621501222
346,Senior Data Scientist,Cargill,Bangalore,"Applied Machine Learning experience (regression analysis, time series, probabilistic mo...",4-9 Yrs," Data analysis, data science, Coding, Artificial Intelligence, Machine learning, Workflow, Forecasting, Monitoring",https://www.naukri.com/job-listings-senior-data-scientist-cargill-india-pvt-ltd-bangalore-bengaluru-4-to-9-years-240922500103
347,Data Scientist/Sr. Data Scientist,Synechron,Bangalore,"Experienced with analytical programming languages, tools and libraries (preferably Pyth...",5-10 Yrs," Health insurance, Networking, data science, Bfsi, Analytical, Machine learning, Data collection, Data mining",https://www.naukri.com/job-listings-data-scientist-sr-data-scientist-synechron-bangalore-bengaluru-5-to-10-years-141022502825
